influencer_id,Number of subscribers,followers,average_likes,average_comments,average_shares,primary_platform,Targeted_audience_age,Targetaudience_gender,past_campaign_success,product_category,budget_per_video,engagement_rate,follower_growth_rate,pat_campaign_success_rate,Geographical location: state of India,campaign duration,score
76,944215,306536,16049,9262,1605,Instagram,5 to 15,Female,1.5,Clothing,139942,4.2,5.0,8.0,Rajasthan,1 year,3.8
77,467477,96309,23285,436,2027,Instagram,15 to 25,Female,7.5,Cosmetics,76580,7.0,9.6,2.8,Punjab,2 months,5.9
78,449612,408621,43292,6374,4547,Facebook,35 to 45,Others,9.6,Cosmetics,78832,8.9,2.6,1.4,Maharashtra,1 month,4.7
79,673273,98984,2316,4773,2631,YouTube,25 to 35,Others,3.2,Clothing,51900,4.9,7.2,4.2,Maharashtra,3 months,3.9
80,76637,401563,34622,2944,3435,Instagram,15 to 25,Others,7.0,Cosmetics,56317,4.0,8.8,7.1,Tamil Nadu,1 year,5.6
81,647352,11711,31972,7461,4364,YouTube,35 to 45,Male,9.5,Cosmetics,51024,3.6,6.4,1.8,Maharashtra,3 months,9.7
82,920981,242086,38229,7444,1659,Facebook,25 to 35,Male,8.9,Cosmetics,100810,1.5,5.4,3.7,Sikkim,2 months,4.2
83,369945,239772,38598,1623,2237,YouTube,25 to 35,Female,6.2,Cosmetics,134618,2.7,8.5,7.1,Sikkim,2 years,5.2
84,861060,495313,36294,5397,976,Instagram,25 to 35,Female,7.7,Clothing,98756,8.9,8.0,9.7,Gujarat,1 year,7.0
85,138212,25063,36847,5812,4798,Instagram,35 to 45,Male,7.9,Accessories,104017,5.5,2.5,8.6,Sikkim,1 year,7.8
86,996699,411872,48471,1168,3262,Instagram,25 to 35,Others,6.4,Clothing,52978,6.4,8.3,2.8,Punjab,2 years,5.0
87,377824,226978,49015,593,358,YouTube,35 to 45,Female,3.8,Accessories,74714,6.3,3.3,3.2,Tamil Nadu,1 year,3.8
88,215303,166783,46932,1672,2290,Instagram,25 to 35,Male,4.9,Clothing,59043,4.2,2.9,9.2,Punjab,1 year,4.8
89,473946,222899,14952,9237,2163,YouTube,5 to 15,Others,1.5,Clothing,72099,5.7,5.6,4.7,Tamil Nadu,1 month,3.6
90,110519,80866,4990,5080,2158,Instagram,15 to 25,Male,3.8,Cosmetics,104410,1.8,9.0,6.7,Tamil Nadu,2 years,4.4
91,501672,236207,28548,4358,1782,Facebook,5 to 15,Male,7.4,Clothing,112836,9.4,4.7,4.6,Punjab,1 year,5.5
92,803255,482802,30051,6686,4599,Instagram,15 to 25,Female,8.6,Accessories,120503,8.6,4.5,1.5,Sikkim,2 years,4.8
93,866354,293557,49765,237,3113,Instagram,25 to 35,Others,5.0,Clothing,142815,8.7,4.5,6.2,Kerala,3 months,5.2
94,198756,415110,4095,4104,3227,Facebook,15 to 25,Female,6.8,Cosmetics,90490,8.2,6.4,2.3,Maharashtra,6 months,4.8
95,277562,238204,20600,1656,4745,Facebook,35 to 45,Others,8.8,Clothing,75467,8.3,2.2,6.7,Gujarat,1 month,5.4
96,925744,264425,26967,1294,4626,Instagram,25 to 35,Male,9.1,Cosmetics,60927,5.0,1.4,5.0,Punjab,6 months,4.3
97,809154,73025,42989,3587,2777,YouTube,25 to 35,Others,5.8,Clothing,148634,3.8,7.4,2.4,Gujarat,6 months,5.1
98,558366,431617,17636,7004,3899,Facebook,15 to 25,Others,4.9,Clothing,101706,8.1,7.5,9.8,Rajasthan,1 year,6.1
99,546579,498191,38015,1478,1787,Facebook,15 to 25,Male,8.9,Clothing,62379,1.9,1.4,7.5,Rajasthan,2 months,4.1
100,839081,443095,11369,7787,3123,Facebook,5 to 15,Others,8.7,Accessories,96354,8.0,6.4,9.2,Punjab,2 years,6.5
101,756359,25627,43820,9591,4278,Facebook,35 to 45,Female,4.1,Accessories,139140,4.5,6.2,2.1,Gujarat,6 months,6.8
102,72633,428085,24919,5287,303,Facebook,15 to 25,Female,4.0,Accessories,56276,7.1,3.3,7.8,Kerala,1 month,4.6
103,743980,347154,25309,7235,835,Instagram,15 to 25,Male,4.5,Cosmetics,61965,9.8,2.8,3.1,Kerala,2 years,4.2
104,737133,427530,19237,5068,2860,Instagram,5 to 15,Female,7.5,Accessories,147489,5.5,9.4,7.7,Gujarat,1 year,6.1
105,637470,101878,43662,2943,2191,Facebook,5 to 15,Male,6.7,Cosmetics,114248,2.8,6.1,5.1,Punjab,2 years,5.0
106,849342,284325,2765,2451,3057,Facebook,5 to 15,Others,3.8,Clothing,140356,4.1,5.9,3.9,Tamil Nadu,1 month,3.6
107,141105,41353,6764,2272,3740,Facebook,5 to 15,Female,9.2,Accessories,140554,4.2,2.4,6.9,Punjab,1 year,4.9
108,394304,271704,47310,1308,485,YouTube,5 to 15,Others,8.1,Accessories,95654,5.4,5.6,3.8,Rajasthan,1 year,4.9
109,401806,296263,7636,380,3537,Facebook,5 to 15,Others,8.7,Cosmetics,72344,2.4,2.3,1.2,Maharashtra,2 years,3.0
110,298590,88820,2025,1762,3053,Facebook,35 to 45,Female,9.8,Clothing,78216,3.6,8.7,9.8,Punjab,2 months,6.4
111,707143,471898,42053,8411,2340,YouTube,35 to 45,Male,9.3,Clothing,100325,6.0,8.4,9.6,Punjab,1 month,6.8
112,152006,49847,40904,1740,3903,Facebook,25 to 35,Others,4.0,Clothing,132615,3.2,5.8,2.7,Gujarat,6 months,4.8
113,337314,301682,38240,5701,3526,YouTube,5 to 15,Others,4.4,Clothing,119772,6.5,9.2,7.8,Kerala,2 years,5.8
114,88268,43916,40924,2319,278,Facebook,5 to 15,Female,7.6,Accessories,78013,8.5,8.6,7.2,Tamil Nadu,3 months,8.2
115,637018,355538,18771,6152,1730,Facebook,5 to 15,Male,6.6,Cosmetics,57858,6.9,9.5,8.9,Maharashtra,1 year,6.5
116,485209,268790,8935,6435,4920,Facebook,15 to 25,Male,2.4,Clothing,122353,2.6,7.3,3.7,Gujarat,2 months,3.3
117,375731,398317,38324,1892,358,Facebook,35 to 45,Others,7.1,Clothing,103313,3.3,8.4,7.0,Kerala,3 months,5.4
118,714596,466209,23951,3533,3198,Instagram,5 to 15,Female,1.3,Cosmetics,89677,2.9,7.5,8.1,Tamil Nadu,2 months,4.1
119,932195,141075,35687,3093,2338,Instagram,15 to 25,Female,7.5,Cosmetics,149522,3.4,7.8,5.8,Gujarat,2 months,5.4
120,385384,21036,2457,1812,2216,YouTube,25 to 35,Male,3.1,Accessories,73691,1.2,4.1,6.9,Tamil Nadu,1 month,3.3
121,406487,253024,3046,7263,97,Instagram,35 to 45,Female,7.7,Cosmetics,56726,2.6,5.8,7.6,Gujarat,3 months,4.8
122,974298,147753,39000,4634,1960,Instagram,25 to 35,Male,6.2,Accessories,131874,5.5,3.3,5.6,Kerala,2 years,4.6
123,600957,139876,16316,4838,953,Facebook,35 to 45,Others,3.5,Cosmetics,139375,4.5,3.7,3.9,Maharashtra,3 months,3.4
124,563374,79708,35956,4384,4592,Facebook,35 to 45,Others,7.6,Cosmetics,107457,1.9,3.0,6.0,Kerala,1 year,4.6
125,522550,150250,46413,4987,2544,Facebook,15 to 25,Male,5.7,Clothing,72976,2.3,6.3,1.4,Maharashtra,6 months,3.8
126,661483,383258,34722,5570,2884,Instagram,15 to 25,Others,7.4,Clothing,87126,7.0,4.7,8.0,Punjab,6 months,5.6
127,818003,170342,38184,161,4547,Facebook,5 to 15,Female,5.1,Clothing,55439,6.2,2.1,5.2,Rajasthan,1 month,4.2
128,853848,56534,41724,3339,3233,Instagram,35 to 45,Male,4.6,Cosmetics,116469,1.3,3.2,2.9,Maharashtra,1 year,3.9
129,444733,483757,30934,8349,3341,Facebook,25 to 35,Others,3.8,Cosmetics,93474,2.7,7.3,6.5,Punjab,1 year,4.2
130,93779,199934,14481,8068,2892,Instagram,35 to 45,Others,2.7,Clothing,117976,7.9,2.6,5.1,Sikkim,3 months,3.8
131,817410,384498,16825,2833,2721,Instagram,5 to 15,Female,9.3,Clothing,141769,4.6,8.3,1.4,Punjab,1 year,4.8
132,675044,103336,42197,6649,3077,Facebook,35 to 45,Others,6.2,Cosmetics,79104,7.0,1.8,7.3,Tamil Nadu,3 months,5.3
133,120173,132745,29629,3229,3823,Instagram,35 to 45,Male,2.5,Cosmetics,112797,1.8,6.6,4.3,Maharashtra,1 year,3.5
134,391188,484441,28397,8699,1849,Facebook,15 to 25,Female,2.7,Clothing,91022,7.1,1.5,3.2,Rajasthan,3 months,3.0
135,266454,70272,30970,1648,3535,YouTube,5 to 15,Others,9.7,Accessories,85000,5.0,5.5,3.5,Maharashtra,2 months,5.6
136,994689,59826,7145,9568,1451,Instagram,25 to 35,Male,2.9,Cosmetics,96305,3.0,6.2,1.6,Rajasthan,2 months,3.0
137,273692,325947,11061,4753,2848,Facebook,5 to 15,Female,4.4,Accessories,149841,2.3,1.1,1.6,Tamil Nadu,6 months,1.9
138,66126,56105,33368,2841,1163,Facebook,35 to 45,Male,8.4,Clothing,98963,9.5,6.0,4.0,Sikkim,2 years,6.8
139,758889,446974,18793,6662,2880,Facebook,5 to 15,Male,9.3,Cosmetics,59603,4.7,3.2,9.5,Sikkim,2 years,5.4
140,479224,35943,14627,760,2277,Instagram,25 to 35,Others,3.9,Clothing,84164,5.1,3.1,4.3,Gujarat,1 month,4.1
141,432605,396761,47377,5965,1395,Instagram,15 to 25,Male,5.5,Accessories,113103,1.2,6.8,4.0,Punjab,1 month,3.7
142,408541,455509,2323,6854,948,Instagram,35 to 45,Others,4.3,Clothing,88278,5.0,2.8,3.2,Punjab,2 months,3.1
143,154346,260536,30315,7220,213,Facebook,15 to 25,Female,6.0,Clothing,64605,3.6,2.0,5.9,Punjab,1 month,3.7
144,726640,328838,11470,2673,2221,Instagram,5 to 15,Others,5.8,Cosmetics,63640,5.0,1.1,9.8,Gujarat,1 year,4.4
145,512993,128065,12775,4336,1878,YouTube,15 to 25,Male,9.3,Cosmetics,133464,8.1,3.6,1.5,Maharashtra,2 months,4.7
146,978597,345559,12505,8798,4730,Instagram,5 to 15,Others,4.1,Accessories,99795,3.6,8.0,2.3,Sikkim,1 month,3.7
147,718059,46088,6699,7910,4246,YouTube,35 to 45,Others,7.0,Accessories,138334,6.2,5.7,3.7,Punjab,1 year,4.8
148,873666,281370,46991,5888,1468,Facebook,25 to 35,Male,7.4,Accessories,80159,3.7,6.3,1.0,Punjab,1 month,4.0
149,855522,274973,42137,405,2434,Instagram,25 to 35,Female,7.1,Cosmetics,50392,3.0,4.7,2.8,Sikkim,1 year,3.8
150,69954,262358,34918,1325,4318,Facebook,15 to 25,Female,6.5,Accessories,125944,6.0,5.0,4.1,Tamil Nadu,1 year,4.6
151,599022,24304,13488,3188,1231,YouTube,35 to 45,Female,5.7,Clothing,70127,3.0,7.7,6.5,Punjab,2 years,5.7
152,100064,363325,6186,5500,4563,YouTube,5 to 15,Others,3.3,Clothing,133429,6.0,5.0,1.1,Maharashtra,2 years,3.1
153,90692,220707,39475,8931,4852,Instagram,5 to 15,Others,2.9,Clothing,113135,5.0,4.4,6.7,Maharashtra,6 months,4.2
154,432042,178625,44388,1456,4502,Instagram,5 to 15,Female,3.2,Clothing,135579,5.3,5.6,7.0,Tamil Nadu,2 years,4.7
155,651900,59924,21592,135,121,Instagram,5 to 15,Female,6.7,Clothing,139066,3.5,6.5,9.0,Rajasthan,1 year,5.9
156,261149,498754,8826,1246,1261,Instagram,15 to 25,Others,8.6,Accessories,134082,7.9,4.3,4.8,Kerala,6 months,5.2
157,445891,354530,13981,9543,3892,Facebook,25 to 35,Female,2.9,Accessories,83294,7.2,9.8,3.2,Rajasthan,1 month,4.7
158,629440,158436,13431,1855,2020,YouTube,25 to 35,Female,6.6,Clothing,67770,1.7,1.5,5.5,Sikkim,3 months,3.2
159,620366,334404,42216,5335,1802,YouTube,5 to 15,Male,8.9,Clothing,88115,4.4,3.2,2.9,Maharashtra,1 month,4.1
160,108798,318571,15629,3142,2323,Facebook,5 to 15,Others,5.9,Cosmetics,99836,1.8,8.5,3.4,Gujarat,6 months,4.0
161,509363,159112,41458,7436,4890,Facebook,35 to 45,Male,5.4,Cosmetics,62096,3.7,5.7,7.5,Gujarat,1 year,5.0
162,496246,494105,7285,4671,2264,Instagram,25 to 35,Others,4.5,Accessories,131365,5.1,5.3,5.2,Sikkim,2 years,4.0
163,391425,270721,35840,9030,3773,Facebook,15 to 25,Male,6.8,Clothing,112901,2.0,7.4,2.1,Gujarat,1 year,3.9
164,111451,27745,24221,1438,4957,Facebook,5 to 15,Female,3.1,Accessories,79280,4.8,1.9,5.9,Maharashtra,1 month,4.9
165,764121,126447,4854,8283,3558,Facebook,35 to 45,Others,2.4,Cosmetics,52767,9.0,1.7,2.5,Kerala,2 months,3.2
166,435685,73514,40166,2264,807,YouTube,5 to 15,Male,5.9,Cosmetics,131607,1.2,1.3,1.5,Gujarat,6 months,3.1
167,307610,227553,34496,9232,3980,Facebook,15 to 25,Others,3.9,Clothing,111063,7.3,4.2,6.2,Tamil Nadu,1 month,4.6
168,521096,485758,34250,6427,2479,Instagram,35 to 45,Female,8.8,Accessories,66989,8.7,7.6,10.0,Tamil Nadu,1 month,7.2
169,861091,29111,47253,3095,4648,Instagram,5 to 15,Male,7.7,Cosmetics,129519,9.3,2.7,9.9,Gujarat,1 year,9.2
170,931309,401073,6363,8936,2207,Facebook,35 to 45,Others,5.1,Cosmetics,69185,4.2,4.1,8.7,Gujarat,2 years,4.5
171,611427,481439,1058,8303,3502,Instagram,5 to 15,Female,4.9,Clothing,76831,4.9,5.9,4.2,Maharashtra,2 months,4.0
172,906310,179990,31311,3272,4573,YouTube,25 to 35,Female,2.3,Clothing,120079,1.9,4.1,2.9,Kerala,2 years,2.6
173,446319,408722,47769,673,1456,Instagram,15 to 25,Others,8.8,Clothing,69001,7.6,8.0,5.1,Punjab,2 years,6.1
174,369387,186646,11473,5339,4580,Instagram,35 to 45,Male,5.8,Accessories,97016,7.8,4.3,7.6,Sikkim,3 months,5.2
175,688460,411833,48894,6699,3293,Facebook,25 to 35,Male,7.1,Clothing,54928,3.2,3.6,9.3,Gujarat,2 years,4.9
176,265332,111202,46919,6318,2784,YouTube,15 to 25,Male,5.7,Cosmetics,120705,4.4,6.9,7.9,Maharashtra,1 year,5.8
177,668016,423657,40281,4055,4082,Instagram,5 to 15,Male,6.2,Accessories,74710,8.5,7.8,6.5,Punjab,1 month,6.0
178,570654,14730,11439,9284,4346,Instagram,15 to 25,Female,8.7,Accessories,100788,5.3,6.1,7.7,Punjab,3 months,7.1
179,81806,458745,43886,3027,361,Instagram,15 to 25,Female,9.6,Clothing,55668,1.7,1.1,4.0,Rajasthan,2 months,3.5
180,175663,417403,34031,7067,3985,Facebook,25 to 35,Female,6.0,Cosmetics,83423,6.6,8.8,2.8,Kerala,2 years,5.0
181,231788,133932,44673,6223,2922,Instagram,15 to 25,Female,8.9,Cosmetics,95649,9.6,8.0,1.7,Rajasthan,2 years,6.3
182,804235,237716,36571,1000,402,Facebook,15 to 25,Female,5.9,Accessories,131098,1.0,4.4,7.6,Rajasthan,1 year,4.1
183,281667,126602,35676,2322,3376,Instagram,35 to 45,Others,7.9,Cosmetics,114259,3.3,5.1,4.2,Tamil Nadu,3 months,4.7
184,786742,496123,47823,3566,575,YouTube,35 to 45,Female,3.4,Clothing,64577,8.4,9.2,7.3,Rajasthan,1 year,5.9
185,470584,330210,39275,300,424,Facebook,5 to 15,Male,2.3,Clothing,62229,2.8,6.9,5.2,Sikkim,3 months,3.7
186,448509,416297,29461,411,2989,Facebook,25 to 35,Male,2.8,Cosmetics,67983,2.8,6.6,9.8,Gujarat,1 year,4.5
187,770221,419227,29640,6543,101,Instagram,5 to 15,Female,6.7,Clothing,58028,2.3,5.0,9.4,Rajasthan,1 year,4.8
188,281320,110948,43807,5836,1303,YouTube,15 to 25,Male,2.8,Cosmetics,118901,4.8,5.3,9.6,Kerala,1 year,5.3
189,968628,333671,21395,6989,3771,Facebook,25 to 35,Others,9.9,Cosmetics,79607,4.0,7.9,6.2,Maharashtra,2 months,5.7
190,281321,17435,26109,8882,3521,YouTube,5 to 15,Male,7.0,Accessories,54811,1.0,8.4,8.5,Kerala,2 months,8.0
191,138333,401158,24390,2475,721,Facebook,25 to 35,Female,5.2,Cosmetics,94841,2.0,5.4,7.8,Maharashtra,2 years,4.2
192,405962,492042,42045,9487,3170,YouTube,5 to 15,Others,3.1,Cosmetics,78622,5.1,4.5,1.3,Tamil Nadu,3 months,3.0
193,308570,136726,20039,806,2827,Facebook,15 to 25,Male,4.5,Accessories,53349,9.7,2.7,3.3,Punjab,1 month,4.3
194,630419,477751,25482,6086,742,Facebook,15 to 25,Female,6.4,Cosmetics,70942,8.0,1.8,9.0,Kerala,2 months,5.1
195,827522,261076,12311,7302,1234,Facebook,35 to 45,Others,9.0,Cosmetics,59153,2.3,9.2,6.5,Gujarat,1 year,5.5
196,780179,301155,20379,143,1255,Facebook,5 to 15,Female,3.1,Accessories,130610,4.4,1.3,6.3,Rajasthan,2 years,3.2
